"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Latvia","11","Stocks","2007","Head","416800.00000",""
"Least Developed Countries +","11","Stocks","2007","Head","28138201.00000","A "
"Lebanon","11","Stocks","2007","Head","15000.00000","F "
"Lesotho","11","Stocks","2007","Head","120000.00000","F "
"Liberia","11","Stocks","2007","Head","173000.00000","F "
"Liechtenstein","11","Stocks","2007","Head","3000.00000","F "
"Lithuania","11","Stocks","2007","Head","1127100.00000",""
"Low Income Food Deficit Countries +","11","Stocks","2007","Head","494034915.00000","A "
"Luxembourg","11","Stocks","2007","Head","83255.00000",""
"Madagascar","11","Stocks","2007","Head","1350000.00000","F "
"Malawi","11","Stocks","2007","Head","928952.00000",""
"Malaysia","11","Stocks","2007","Head","2000000.00000","F "
"Mali","11","Stocks","2007","Head","71100.00000",""
"Malta","11","Stocks","2007","Head","73683.00000",""
"Martinique","11","Stocks","2007","Head","20000.00000","F "
"Mauritius","11","Stocks","2007","Head","17413.00000",""
"Melanesia +","11","Stocks","2007","Head","2091000.00000","A "
"Mexico","11","Stocks","2007","Head","15500000.00000","F "
"Micronesia +","11","Stocks","2007","Head","53700.00000","A "
"Micronesia, Federated States of","11","Stocks","2007","Head","33000.00000","F "
"Middle Africa +","11","Stocks","2007","Head","4190870.00000","A "
"Moldova","11","Stocks","2007","Head","531818.00000",""
"Mongolia","11","Stocks","2007","Head","7000.00000","F "
"Montenegro","11","Stocks","2007","Head","13294.00000",""
"Montserrat","11","Stocks","2007","Head","1200.00000","F "
"Morocco","11","Stocks","2007","Head","8000.00000","F "
"Mozambique","11","Stocks","2007","Head","182000.00000","F "
"Myanmar","11","Stocks","2007","Head","7006825.00000",""
"Namibia","11","Stocks","2007","Head","25000.00000","F "
"Nauru","11","Stocks","2007","Head","2900.00000","F "
"Nepal","11","Stocks","2007","Head","989429.00000",""
"Net Food Importing Developing Countries +","11","Stocks","2007","Head","38488750.00000","A "
"Netherlands","11","Stocks","2007","Head","11600000.00000",""
"Netherlands Antilles","11","Stocks","2007","Head","2600.00000","F "
"New Caledonia","11","Stocks","2007","Head","29000.00000","F "
"New Zealand","11","Stocks","2007","Head","366671.00000",""
"Nicaragua","11","Stocks","2007","Head","123000.00000","F "
"Niger","11","Stocks","2007","Head","40000.00000","F "
"Nigeria","11","Stocks","2007","Head","6642340.00000",""
"Niue","11","Stocks","2007","Head","2100.00000","F "
"Northern Africa +","11","Stocks","2007","Head","49700.00000","A "
"Northern America +","11","Stocks","2007","Head","76767600.00000","A "
"Northern Europe +","11","Stocks","2007","Head","26038697.00000","A "
"Norway","11","Stocks","2007","Head","837892.00000",""
"Oceania +","11","Stocks","2007","Head","5510971.00000","A "
"Panama","11","Stocks","2007","Head","325200.00000",""
"Papua New Guinea","11","Stocks","2007","Head","1800000.00000","F "
"Paraguay","11","Stocks","2007","Head","1600000.00000","F "
"Peru","11","Stocks","2007","Head","3115770.00000",""
"Philippines","11","Stocks","2007","Head","13459000.00000",""
"Poland","11","Stocks","2007","Head","18128510.00000",""
"Polynesia +","11","Stocks","2007","Head","394600.00000","A "
"Portugal","11","Stocks","2007","Head","2295450.00000",""
"Puerto Rico","11","Stocks","2007","Head","50000.00000","F "
"Réunion","11","Stocks","2007","Head","78638.00000",""
"Romania","11","Stocks","2007","Head","6815000.00000",""
"Russian Federation","11","Stocks","2007","Head","15919100.00000",""
"Rwanda","11","Stocks","2007","Head","270000.00000","F "
"Saint Helena","11","Stocks","2007","Head","620.00000","F "
"Saint Kitts and Nevis","11","Stocks","2007","Head","6750.00000",""
"Saint Lucia","11","Stocks","2007","Head","19520.00000",""
"Saint Pierre and Miquelon","11","Stocks","2007","Head","0.00000","NR"
"Saint Vincent and Grenadines","11","Stocks","2007","Head","9180.00000","F "
"Samoa","11","Stocks","2007","Head","202000.00000","F "
"Sao Tome and Principe","11","Stocks","2007","Head","2620.00000","F "
"Senegal","11","Stocks","2007","Head","319360.00000",""
"Serbia","11","Stocks","2007","Head","3831894.00000",""
"Seychelles","11","Stocks","2007","Head","18700.00000","F "
"Sierra Leone","11","Stocks","2007","Head","52000.00000","F "
"Singapore","11","Stocks","2007","Head","260000.00000","F "
"Slovakia","11","Stocks","2007","Head","1104830.00000",""
"Slovenia","11","Stocks","2007","Head","575120.00000",""
"Small Island Developing States +","11","Stocks","2007","Head","7633883.00000","A "
"Solomon Islands","11","Stocks","2007","Head","54000.00000","F "
"Somalia","11","Stocks","2007","Head","4200.00000","F "
"South Africa","11","Stocks","2007","Head","1651394.00000",""
"South America +","11","Stocks","2007","Head","56026681.00000","A "
"South-Eastern Asia +","11","Stocks","2007","Head","69776207.00000","A "
"Southern Africa +","11","Stocks","2007","Head","1831894.00000","A "
"Southern Asia +","11","Stocks","2007","Head","15118639.00000","A "
"Southern Europe +","11","Stocks","2007","Head","45459376.00000","A "
"Spain","11","Stocks","2007","Head","26061232.00000",""
"Sri Lanka","11","Stocks","2007","Head","94210.00000",""
"Suriname","11","Stocks","2007","Head","24500.00000","F "
"Swaziland","11","Stocks","2007","Head","30000.00000","F "
"Sweden","11","Stocks","2007","Head","1676327.00000",""
"Switzerland","11","Stocks","2007","Head","1573090.00000",""
"Syrian Arab Republic","11","Stocks","2007","Head","0.00000","F "
"Tajikistan","11","Stocks","2007","Head","672.00000",""
"Tanzania, United Republic of","11","Stocks","2007","Head","455000.00000","F "
"Thailand","11","Stocks","2007","Head","8381122.00000",""
"The former Yugoslav Republic of Macedonia","11","Stocks","2007","Head","255146.00000",""
"Timor-Leste","11","Stocks","2007","Head","346000.00000","F "
"Togo","11","Stocks","2007","Head","554000.00000",""
"Tokelau","11","Stocks","2007","Head","1000.00000","F "
"Tonga","11","Stocks","2007","Head","81200.00000","F "
"Trinidad and Tobago","11","Stocks","2007","Head","45000.00000","F "
"Tunisia","11","Stocks","2007","Head","6000.00000","F "
"Turkey","11","Stocks","2007","Head","1362.00000",""
"Turkmenistan","11","Stocks","2007","Head","29800.00000","F "
"Tuvalu","11","Stocks","2007","Head","13600.00000","F "
"Uganda","11","Stocks","2007","Head","2122000.00000",""
"Ukraine","11","Stocks","2007","Head","8055000.00000",""
"United Kingdom","11","Stocks","2007","Head","4834000.00000",""
"United States of America","11","Stocks","2007","Head","61860000.00000",""
"Uruguay","11","Stocks","2007","Head","245000.00000",""
"US Virgin Islands","11","Stocks","2007","Head","2650.00000","F "
"Uzbekistan","11","Stocks","2007","Head","92300.00000",""
"Vanuatu","11","Stocks","2007","Head","63000.00000","F "
"Venezuela, Bolivarian Republic of","11","Stocks","2007","Head","2970506.00000",""
"Viet Nam","11","Stocks","2007","Head","26560700.00000",""
"Wallis and Futuna Islands","11","Stocks","2007","Head","25000.00000","F "
"Western Africa +","11","Stocks","2007","Head","12216680.00000","A "
"Western Asia +","11","Stocks","2007","Head","1190270.00000","A "
"Western Europe +","11","Stocks","2007","Head","64515483.00000","A "
"World +","11","Stocks","2007","Head","918278483.00000","A "
"Zambia","11","Stocks","2007","Head","340000.00000","F "
"Zimbabwe","11","Stocks","2007","Head","630000.00000","F "

"fnSeqID","Footnote"
"* ","Unofficial figure"
"A ","May include official, semi-official or estimated data"
"F ","FAO Estimate"
"NR","Not reported by country"
