"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Guadeloupe","11","Stocks","2007","1000 Head","3.00000","F "
"Guam","11","Stocks","2007","1000 Head","5.00000","F "
"Haiti","11","Stocks","2007","1000 Head","190.00000","F "
"Hungary","11","Stocks","2007","1000 Head","2579.00000",""
"India","11","Stocks","2007","1000 Head","35000.00000","F "
"Indonesia","11","Stocks","2007","1000 Head","35867.00000",""
"Iran, Islamic Republic of","11","Stocks","2007","1000 Head","1600.00000","F "
"Ireland","11","Stocks","2007","1000 Head","200.00000","F "
"Israel","11","Stocks","2007","1000 Head","200.00000","F "
"Jordan","11","Stocks","2007","1000 Head","2.00000","F "
"Korea, Democratic People's Republic of","11","Stocks","2007","1000 Head","6000.00000","F "
"Korea, Republic of","11","Stocks","2007","1000 Head","10513.00000",""
"Kyrgyzstan","11","Stocks","2007","1000 Head","131.00000",""
"LandLocked developing countries +","11","Stocks","2007","1000 Head","4837.00000","A "
"Lao People's Democratic Republic","11","Stocks","2007","1000 Head","3200.00000","F "
"Least Developed Countries +","11","Stocks","2007","1000 Head","50303.00000","A "
"Liberia","11","Stocks","2007","1000 Head","315.00000","F "
"Lithuania","11","Stocks","2007","1000 Head","36.00000",""
"Low Income Food Deficit Countries +","11","Stocks","2007","1000 Head","881444.00000","A "
"Madagascar","11","Stocks","2007","1000 Head","3900.00000","F "
"Malaysia","11","Stocks","2007","1000 Head","16000.00000","F "
"Malta","11","Stocks","2007","1000 Head","0.00000","NR"
"Martinique","11","Stocks","2007","1000 Head","0.00000","NR"
"Mauritius","11","Stocks","2007","1000 Head","25.00000","F "
"Melanesia +","11","Stocks","2007","1000 Head","100.00000","A "
"Mexico","11","Stocks","2007","1000 Head","8200.00000","F "
"Micronesia +","11","Stocks","2007","1000 Head","6.00000","A "
"Micronesia, Federated States of","11","Stocks","2007","1000 Head","1.00000","F "
"Middle Africa +","11","Stocks","2007","1000 Head","74.00000","A "
"Mozambique","11","Stocks","2007","1000 Head","675.00000","F "
"Myanmar","11","Stocks","2007","1000 Head","11144.00000",""
"Nepal","11","Stocks","2007","1000 Head","395.00000",""
"Net Food Importing Developing Countries +","11","Stocks","2007","1000 Head","63346.00000","A "
"Netherlands","11","Stocks","2007","1000 Head","750.00000","F "
"New Zealand","11","Stocks","2007","1000 Head","190.00000","F "
"Northern Africa +","11","Stocks","2007","1000 Head","9545.00000","A "
"Northern America +","11","Stocks","2007","1000 Head","8051.00000","A "
"Northern Europe +","11","Stocks","2007","1000 Head","2864.00000","A "
"Oceania +","11","Stocks","2007","1000 Head","1249.00000","A "
"Pakistan","11","Stocks","2007","1000 Head","3500.00000","F "
"Panama","11","Stocks","2007","1000 Head","235.00000","F "
"Papua New Guinea","11","Stocks","2007","1000 Head","15.00000","F "
"Paraguay","11","Stocks","2007","1000 Head","730.00000","F "
"Philippines","11","Stocks","2007","1000 Head","10162.00000",""
"Poland","11","Stocks","2007","1000 Head","5551.00000",""
"Polynesia +","11","Stocks","2007","1000 Head","47.00000","A "
"Portugal","11","Stocks","2007","1000 Head","0.00000","NR"
"Réunion","11","Stocks","2007","1000 Head","520.00000","F "
"Romania","11","Stocks","2007","1000 Head","4000.00000","F "
"Russian Federation","11","Stocks","2007","1000 Head","200.00000","F "
"Rwanda","11","Stocks","2007","1000 Head","0.00000","NR"
"Saint Pierre and Miquelon","11","Stocks","2007","1000 Head","1.00000",""
"Sao Tome and Principe","11","Stocks","2007","1000 Head","34.00000","F "
"Serbia","11","Stocks","2007","1000 Head","289.00000",""
"Seychelles","11","Stocks","2007","1000 Head","5.00000","F "
"Sierra Leone","11","Stocks","2007","1000 Head","75.00000","F "
"Singapore","11","Stocks","2007","1000 Head","600.00000","F "
"Slovakia","11","Stocks","2007","1000 Head","240.00000",""
"Slovenia","11","Stocks","2007","1000 Head","13.00000",""
"Small Island Developing States +","11","Stocks","2007","1000 Head","1086.00000","A "
"South Africa","11","Stocks","2007","1000 Head","365.00000","F "
"South America +","11","Stocks","2007","1000 Head","7523.00000","A "
"South-Eastern Asia +","11","Stocks","2007","1000 Head","165483.00000","A "
"Southern Africa +","11","Stocks","2007","1000 Head","365.00000","A "
"Southern Asia +","11","Stocks","2007","1000 Head","62511.00000","A "
"Southern Europe +","11","Stocks","2007","1000 Head","1601.00000","A "
"Spain","11","Stocks","2007","1000 Head","83.00000","F "
"Sri Lanka","11","Stocks","2007","1000 Head","16.00000",""
"Suriname","11","Stocks","2007","1000 Head","66.00000","F "
"Switzerland","11","Stocks","2007","1000 Head","5.00000",""
"Syrian Arab Republic","11","Stocks","2007","1000 Head","48.00000","F "
"Tanzania, United Republic of","11","Stocks","2007","1000 Head","1320.00000","F "
"Thailand","11","Stocks","2007","1000 Head","13610.00000",""
"Turkey","11","Stocks","2007","1000 Head","525.00000",""
"Tuvalu","11","Stocks","2007","1000 Head","15.00000","F "
"Ukraine","11","Stocks","2007","1000 Head","9700.00000",""
"United Kingdom","11","Stocks","2007","1000 Head","2406.00000",""
"United States of America","11","Stocks","2007","1000 Head","6900.00000","F "
"Uruguay","11","Stocks","2007","1000 Head","195.00000","F "
"Viet Nam","11","Stocks","2007","1000 Head","67800.00000",""
"Western Africa +","11","Stocks","2007","1000 Head","390.00000","A "
"Western Asia +","11","Stocks","2007","1000 Head","825.00000","A "
"Western Europe +","11","Stocks","2007","1000 Head","26269.00000","A "
"World +","11","Stocks","2007","1000 Head","1095805.00000","A "
"Zimbabwe","11","Stocks","2007","1000 Head","76.00000","F "

"fnSeqID","Footnote"
"* ","Unofficial figure"
"A ","May include official, semi-official or estimated data"
"F ","FAO Estimate"
"NR","Not reported by country"
