"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Ireland","11","Stocks","2007","1000 Head","13000.00000","F "
"Israel","11","Stocks","2007","1000 Head","37066.00000",""
"Italy","11","Stocks","2007","1000 Head","100000.00000","F "
"Jamaica","11","Stocks","2007","1000 Head","12500.00000","F "
"Japan","11","Stocks","2007","1000 Head","288531.00000",""
"Jordan","11","Stocks","2007","1000 Head","25000.00000",""
"Kazakhstan","11","Stocks","2007","1000 Head","28100.00000",""
"Kenya","11","Stocks","2007","1000 Head","27495.00000",""
"Kiribati","11","Stocks","2007","1000 Head","480.00000","F "
"Korea, Democratic People's Republic of","11","Stocks","2007","1000 Head","17000.00000","F "
"Korea, Republic of","11","Stocks","2007","1000 Head","119365.00000",""
"Kuwait","11","Stocks","2007","1000 Head","32500.00000","F "
"Kyrgyzstan","11","Stocks","2007","1000 Head","4473.00000",""
"LandLocked developing countries +","11","Stocks","2007","1000 Head","486905.00000","A "
"Lao People's Democratic Republic","11","Stocks","2007","1000 Head","21900.00000","F "
"Latvia","11","Stocks","2007","1000 Head","4097.00000",""
"Least Developed Countries +","11","Stocks","2007","1000 Head","897560.00000","A "
"Lebanon","11","Stocks","2007","1000 Head","35000.00000","F "
"Lesotho","11","Stocks","2007","1000 Head","1850.00000","F "
"Liberia","11","Stocks","2007","1000 Head","5920.00000","F "
"Libyan Arab Jamahiriya","11","Stocks","2007","1000 Head","25000.00000","F "
"Lithuania","11","Stocks","2007","1000 Head","9234.00000",""
"Low Income Food Deficit Countries +","11","Stocks","2007","1000 Head","8240992.00000","A "
"Luxembourg","11","Stocks","2007","1000 Head","81908.00000",""
"Madagascar","11","Stocks","2007","1000 Head","25000.00000","F "
"Malawi","11","Stocks","2007","1000 Head","15300.00000","F "
"Malaysia","11","Stocks","2007","1000 Head","190000.00000","F "
"Mali","11","Stocks","2007","1000 Head","33000.00000","F "
"Malta","11","Stocks","2007","1000 Head","1100.00000","F "
"Martinique","11","Stocks","2007","1000 Head","590.00000","F "
"Mauritania","11","Stocks","2007","1000 Head","4200.00000","F "
"Mauritius","11","Stocks","2007","1000 Head","10000.00000","F "
"Melanesia +","11","Stocks","2007","1000 Head","9595.00000","A "
"Mexico","11","Stocks","2007","1000 Head","496500.00000","F "
"Micronesia +","11","Stocks","2007","1000 Head","885.00000","A "
"Micronesia, Federated States of","11","Stocks","2007","1000 Head","190.00000","F "
"Middle Africa +","11","Stocks","2007","1000 Head","74090.00000","A "
"Moldova","11","Stocks","2007","1000 Head","22400.00000",""
"Mongolia","11","Stocks","2007","1000 Head","100.00000","F "
"Montenegro","11","Stocks","2007","1000 Head","449.00000",""
"Montserrat","11","Stocks","2007","1000 Head","35.00000","F "
"Morocco","11","Stocks","2007","1000 Head","140000.00000","F "
"Mozambique","11","Stocks","2007","1000 Head","28500.00000","F "
"Myanmar","11","Stocks","2007","1000 Head","107771.00000",""
"Namibia","11","Stocks","2007","1000 Head","4700.00000","F "
"Nauru","11","Stocks","2007","1000 Head","5.00000","F "
"Nepal","11","Stocks","2007","1000 Head","23925.00000",""
"Net Food Importing Developing Countries +","11","Stocks","2007","1000 Head","2017217.00000","A "
"Netherlands","11","Stocks","2007","1000 Head","92763.00000",""
"Netherlands Antilles","11","Stocks","2007","1000 Head","140.00000","F "
"New Caledonia","11","Stocks","2007","1000 Head","700.00000","F "
"New Zealand","11","Stocks","2007","1000 Head","19829.00000",""
"Nicaragua","11","Stocks","2007","1000 Head","18000.00000","F "
"Niger","11","Stocks","2007","1000 Head","11120.00000",""
"Nigeria","11","Stocks","2007","1000 Head","166127.00000",""
"Niue","11","Stocks","2007","1000 Head","15.00000","F "
"Northern Africa +","11","Stocks","2007","1000 Head","485000.00000","A "
"Northern America +","11","Stocks","2007","1000 Head","2215082.00000","A "
"Northern Europe +","11","Stocks","2007","1000 Head","217325.00000","A "
"Norway","11","Stocks","2007","1000 Head","3542.00000",""
"Occupied Palestinian Territory","11","Stocks","2007","1000 Head","11900.00000","F "
"Oceania +","11","Stocks","2007","1000 Head","128865.00000","A "
"Oman","11","Stocks","2007","1000 Head","4200.00000","F "
"Pakistan","11","Stocks","2007","1000 Head","263000.00000","F "
"Panama","11","Stocks","2007","1000 Head","15195.00000",""
"Papua New Guinea","11","Stocks","2007","1000 Head","4000.00000",""
"Paraguay","11","Stocks","2007","1000 Head","17000.00000","F "
"Peru","11","Stocks","2007","1000 Head","120228.00000",""
"Philippines","11","Stocks","2007","1000 Head","135640.00000",""
"Poland","11","Stocks","2007","1000 Head","133072.00000",""
"Polynesia +","11","Stocks","2007","1000 Head","1170.00000","A "
"Portugal","11","Stocks","2007","1000 Head","37000.00000","F "
"Puerto Rico","11","Stocks","2007","1000 Head","13000.00000","F "
"Qatar","11","Stocks","2007","1000 Head","4500.00000","F "
"Réunion","11","Stocks","2007","1000 Head","14500.00000","F "
"Romania","11","Stocks","2007","1000 Head","84991.00000",""
"Russian Federation","11","Stocks","2007","1000 Head","358260.00000",""
"Rwanda","11","Stocks","2007","1000 Head","2000.00000","F "
"Saint Helena","11","Stocks","2007","1000 Head","7.00000","F "
"Saint Kitts and Nevis","11","Stocks","2007","1000 Head","70.00000","F "
"Saint Lucia","11","Stocks","2007","1000 Head","280.00000","F "
"Saint Pierre and Miquelon","11","Stocks","2007","1000 Head","37.00000",""
"Saint Vincent and Grenadines","11","Stocks","2007","1000 Head","130.00000","F "
"Samoa","11","Stocks","2007","1000 Head","450.00000","F "
"Sao Tome and Principe","11","Stocks","2007","1000 Head","420.00000","F "
"Saudi Arabia","11","Stocks","2007","1000 Head","145000.00000","F "
"Senegal","11","Stocks","2007","1000 Head","34928.00000",""
"Serbia","11","Stocks","2007","1000 Head","15708.00000",""
"Seychelles","11","Stocks","2007","1000 Head","575.00000","F "
"Sierra Leone","11","Stocks","2007","1000 Head","7500.00000","F "
"Singapore","11","Stocks","2007","1000 Head","2000.00000","F "
"Slovakia","11","Stocks","2007","1000 Head","12880.00000",""
"Slovenia","11","Stocks","2007","1000 Head","2930.00000",""
"Small Island Developing States +","11","Stocks","2007","1000 Head","254228.00000","A "
"Solomon Islands","11","Stocks","2007","1000 Head","235.00000","F "
"Somalia","11","Stocks","2007","1000 Head","3400.00000","F "
"South Africa","11","Stocks","2007","1000 Head","126000.00000","F "
"South America +","11","Stocks","2007","1000 Head","1951968.00000","A "
"South-Eastern Asia +","11","Stocks","2007","1000 Head","2132916.00000","A "
"Southern Africa +","11","Stocks","2007","1000 Head","139750.00000","A "
"Southern Asia +","11","Stocks","2007","1000 Head","1496869.00000","A "
"Southern Europe +","11","Stocks","2007","1000 Head","352979.00000","A "
"Spain","11","Stocks","2007","1000 Head","137000.00000","F "
"Sri Lanka","11","Stocks","2007","1000 Head","13779.00000",""
"Sudan","11","Stocks","2007","1000 Head","35000.00000","F "
"Suriname","11","Stocks","2007","1000 Head","3800.00000","F "
"Swaziland","11","Stocks","2007","1000 Head","3200.00000","F "
"Sweden","11","Stocks","2007","1000 Head","7080.00000",""
"Switzerland","11","Stocks","2007","1000 Head","5002.00000",""
"Syrian Arab Republic","11","Stocks","2007","1000 Head","24500.00000","F "
"Tajikistan","11","Stocks","2007","1000 Head","2580.00000",""
"Tanzania, United Republic of","11","Stocks","2007","1000 Head","30000.00000","F "
"Thailand","11","Stocks","2007","1000 Head","209105.00000",""
"The former Yugoslav Republic of Macedonia","11","Stocks","2007","1000 Head","2264.00000",""
"Timor-Leste","11","Stocks","2007","1000 Head","2200.00000","F "
"Togo","11","Stocks","2007","1000 Head","15646.00000",""
"Tokelau","11","Stocks","2007","1000 Head","5.00000","F "
"Tonga","11","Stocks","2007","1000 Head","330.00000","F "
"Trinidad and Tobago","11","Stocks","2007","1000 Head","28500.00000","F "
"Tunisia","11","Stocks","2007","1000 Head","64000.00000","F "
"Turkey","11","Stocks","2007","1000 Head","344820.00000",""
"Turkmenistan","11","Stocks","2007","1000 Head","7000.00000","F "
"Tuvalu","11","Stocks","2007","1000 Head","45.00000","F "
"Uganda","11","Stocks","2007","1000 Head","26950.00000",""
"Ukraine","11","Stocks","2007","1000 Head","145600.00000",""
"United Arab Emirates","11","Stocks","2007","1000 Head","15500.00000","F "
"United Kingdom","11","Stocks","2007","1000 Head","157513.00000",""
"United States of America","11","Stocks","2007","1000 Head","2050000.00000","F "
"Uruguay","11","Stocks","2007","1000 Head","14000.00000","F "
"US Virgin Islands","11","Stocks","2007","1000 Head","40.00000","F "
"Uzbekistan","11","Stocks","2007","1000 Head","24220.00000",""
"Vanuatu","11","Stocks","2007","1000 Head","360.00000","F "
"Venezuela, Bolivarian Republic of","11","Stocks","2007","1000 Head","120000.00000","F "
"Viet Nam","11","Stocks","2007","1000 Head","158200.00000",""
"Wallis and Futuna Islands","11","Stocks","2007","1000 Head","65.00000","F "
"Western Africa +","11","Stocks","2007","1000 Head","404170.00000","A "
"Western Asia +","11","Stocks","2007","1000 Head","794476.00000","A "
"Western Europe +","11","Stocks","2007","1000 Head","515618.00000","A "
"World +","11","Stocks","2007","1000 Head","17863376.00000","A "
"Yemen","11","Stocks","2007","1000 Head","51000.00000","F "
"Zambia","11","Stocks","2007","1000 Head","30000.00000","F "
"Zimbabwe","11","Stocks","2007","1000 Head","23000.00000","F "

"fnSeqID","Footnote"
"* ","Unofficial figure"
"A ","May include official, semi-official or estimated data"
"F ","FAO Estimate"
"NR","Not reported by country"
