"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Sweden","11","Stocks","2007","1000 Head","101.00000",""
"Switzerland","11","Stocks","2007","1000 Head","112.00000",""
"Syrian Arab Republic","11","Stocks","2007","1000 Head","260.00000","F "
"Tunisia","11","Stocks","2007","1000 Head","5000.00000","F "
"Turkey","11","Stocks","2007","1000 Head","3902.00000",""
"Turkmenistan","11","Stocks","2007","1000 Head","200.00000","F "
"Ukraine","11","Stocks","2007","1000 Head","2250.00000",""
"United Kingdom","11","Stocks","2007","1000 Head","3832.00000",""
"United States of America","11","Stocks","2007","1000 Head","271676.00000",""
"Uruguay","11","Stocks","2007","1000 Head","120.00000","F "
"Uzbekistan","11","Stocks","2007","1000 Head","360.00000",""
"Western Asia +","11","Stocks","2007","1000 Head","10151.00000","A "
"Western Europe +","11","Stocks","2007","1000 Head","41072.00000","A "
"World +","11","Stocks","2007","1000 Head","472635.00000","A "
"Zimbabwe","11","Stocks","2007","1000 Head","22.00000","F "

"fnSeqID","Footnote"
"* ","Unofficial figure"
"A ","May include official, semi-official or estimated data"
"F ","FAO Estimate"
"NR","Not reported by country"
